step,loss,lr,tokens_per_sec,total_tokens,elapsed_min
2520,4.055654,0.00029998,28739,247726080,144.21
2525,4.029698,0.00029998,28740,248217600,144.49
2530,4.102172,0.00029998,28738,248709120,144.78
2535,4.036644,0.00029998,28733,249200640,145.06
2540,4.124681,0.00029998,28739,249692160,145.35
2545,3.979599,0.00029998,28739,250183680,145.63
2550,4.105684,0.00029998,28735,250675200,145.92
2555,3.953311,0.00029998,28738,251166720,146.20
2560,4.031108,0.00029998,28738,251658240,146.49
2565,4.027548,0.00029998,28738,252149760,146.77
2570,3.929523,0.00029998,28738,252641280,147.06
2575,3.676164,0.00029998,28739,253132800,147.34
2580,3.925508,0.00029998,28737,253624320,147.63
2585,3.920498,0.00029998,28739,254115840,147.91
2590,4.009240,0.00029998,28740,254607360,148.20
2595,4.017574,0.00029998,28740,255098880,148.48
2600,4.026522,0.00029998,28737,255590400,148.77
2605,3.964164,0.00029997,28737,256081920,149.05
2610,4.067492,0.00029997,28738,256573440,149.34
2615,4.038099,0.00029997,28739,257064960,149.62
2620,3.985621,0.00029997,28739,257556480,149.91
2625,4.007267,0.00029997,28739,258048000,150.19
2630,3.967171,0.00029997,28739,258539520,150.48
2635,3.985128,0.00029997,28737,259031040,150.76
2640,3.993146,0.00029997,28734,259522560,151.05
2645,4.003575,0.00029997,28726,260014080,151.33
2650,3.984866,0.00029997,28731,260505600,151.62
2655,4.115034,0.00029997,28726,260997120,151.90
2660,4.032931,0.00029997,28730,261488640,152.19
2665,4.039346,0.00029997,28727,261980160,152.47
2670,3.993403,0.00029997,28723,262471680,152.76
2675,3.910752,0.00029997,28723,262963200,153.04
2680,3.946629,0.00029997,28716,263454720,153.33
2685,3.683985,0.00029997,28729,263946240,153.62
2690,3.917608,0.00029997,28720,264437760,153.90
2695,4.007543,0.00029997,28722,264929280,154.19
2700,3.768156,0.00029997,28726,265420800,154.47
2705,3.425459,0.00029997,28720,265912320,154.76
2710,4.033824,0.00029997,28721,266403840,155.04
2715,4.041085,0.00029996,28727,266895360,155.33
2720,4.074305,0.00029996,28723,267386880,155.61
2725,3.964141,0.00029996,28721,267878400,155.90
2730,4.000590,0.00029996,28724,268369920,156.18
2735,3.969644,0.00029996,28720,268861440,156.47
2740,3.996635,0.00029996,28711,269352960,156.75
2745,3.895840,0.00029996,28716,269844480,157.04
2750,4.002216,0.00029996,28684,270336000,157.32
2755,3.857680,0.00029996,28634,270827520,157.61
2760,4.031753,0.00029996,28639,271319040,157.90
2765,4.050872,0.00029996,28637,271810560,158.18
2770,3.954585,0.00029996,28640,272302080,158.47
2775,4.013701,0.00029996,28640,272793600,158.75
2780,4.001684,0.00029996,28634,273285120,159.04
2785,3.972555,0.00029996,28632,273776640,159.33
2790,3.899753,0.00029996,28636,274268160,159.61
2795,4.097399,0.00029996,28636,274759680,159.90
2800,3.936306,0.00029996,28632,275251200,160.18
2805,3.987542,0.00029996,28631,275742720,160.47
2810,3.647508,0.00029995,28636,276234240,160.76
